"class","Candidate","Endangered","Experimental Population, Non-Essential","Extinction","Original Data in Error - Erroneous Data","Original Data in Error - New Information Discovered","Original Data in Error - Taxonomic Revision","Proposed Endangered","Proposed Similarity of Appearance to a Threatened Taxon","Proposed Threatened","Recovery","Resolved Taxon","Similarity of Appearance to a Threatened Taxon","Species of Concern","Status Undefined","Threatened","Under Review in the Candidate or Petition Process","<NA>"
"Polychaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Polyplacophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Polypodiopsida",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,105
"Polytrichopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Pycnogonida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Reptilia",1,13,NA,NA,NA,NA,NA,1,NA,1,3,16,1,36,1,19,22,375
"Rhynchonellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Scyphozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Sedentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
"Sipunculidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Sphagnopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"Stenolaemata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Symphyla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Teleostei",NA,56,8,NA,NA,NA,2,NA,1,2,2,46,NA,52,7,37,45,1173
"Tentaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Tetraphidopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Trepaxonemata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,35
"Tubothalamea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Ulvophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,34,NA,NA,20,633
