"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Acentrella parvula","A Mayfly","Species","Exact Match","Insects","Acentrella parvula","","Colorado,Florida",0,2,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella"
"Acer leucoderme","Chalk Maple","Species","Exact Match","Plants","Acer leucoderme","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer"
"Achalarus lyciades","Hoary Edge","Species","Exact Match","Insects","Achalarus lyciades","Indiana","Florida,Nebraska",1,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achalarus"
"Achnatherum curvifolium","Guadalupe needlegrass","Species","Exact Match","Plants","Achnatherum curvifolium","","Texas",0,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Achnatherum"
"Acipenser brevirostrum","Shortnose Sturgeon","Species","Exact Match","Fish","Acipenser brevirostrum","Connecticut,Delaware,District of Columbia,Georgia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia","Connecticut,Delaware,District of Columbia,Florida,Georgia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,South Carolina,Virginia",15,15,"Endangered","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser fulvescens","Lake Sturgeon","Species","Exact Match","Fish","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,18,"Species of Concern","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser oxyrinchus","Atlantic Sturgeon","Species","Exact Match","Fish","Acipenser oxyrhynchus,Acipenser oxyrinchus","Connecticut,Delaware,District of Columbia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia","District of Columbia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia",14,12,NA,"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser oxyrinchus desotoi","Gulf Sturgeon","Subspecies","Fuzzy Match","Fish","Acipenser oxrinchus desotoi,Acipenser oxyrhinchus desotoi,Acipenser oxyrinchus desotoi","Alabama,Florida,Georgia,Louisiana,Mississippi","Alabama,Florida,Georgia,Louisiana,Mississippi",5,5,NA,"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser oxyrinchus oxyrinchus","Atlantic Sturgeon","Subspecies","Exact Match","Fish","Acipenser oxyrinchus oxyrinchus","Florida","Connecticut,Delaware,Florida,Georgia",1,4,"Endangered","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acleisanthes acutifolia","Havard trumpets","Species","Exact Match","Plants","Acleisanthes acutifolia","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Acleisanthes"
"Acleisanthes crassifolia","Texas trumpets","Species","Exact Match","Plants","Acleisanthes crassifolia","","Texas",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Acleisanthes"
"Acleisanthes parvifolia","Littleleaf moonpod","Species","Fuzzy Match","Plants","Selinocarpus parvifolius","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Acleisanthes"
"Acleisanthes wrightii","Wright's trumpets","Species","Exact Match","Plants","Acleisanthes wrightii","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Acleisanthes"
"Acmella oppositifolia","Creeping Spotflower","Species","Exact Match","Plants","Acmella oppositifolia","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"Acmispon americanus var. americanus","American Bird's-foot-trefoil","Variety","Fuzzy Match","Plants","Lotus unifoliolatus","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon"
"Acmispon americanus var. helleri","Carolina Trefoil","Variety","Fuzzy Match","Plants","Acmispon helleri,Lotus helleri","Georgia","Georgia",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon"
"Aconitum reclinatum","White Monkshood","Species","Exact Match","Plants","Aconitum reclinatum","","Tennessee,West Virginia",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum"
"Aconitum uncinatum","Southern monkshood","Species","Exact Match","Plants","Aconitum uncinatum","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum"
"Acrididae","grasshoppers","Family","Exact Match","Insects","Acrididae","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae",NA
"Acris blanchardi","Blanchard's cricket frog","Species","Fuzzy Match","Amphibians","Acris blanchardi,Acris crepitans blanchardi","Michigan,Ohio,West Virginia","Colorado,Michigan,Minnesota,Missouri,South Dakota,West Virginia,Wisconsin",3,7,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acris crepitans","Northern Cricket Frog","Species","Exact Match","Amphibians","Acris crepitans,Acris crepitans crepitans","Colorado,District of Columbia,Iowa,Kansas,Minnesota,New York,Pennsylvania,South Carolina,South Dakota,West Virginia,Wisconsin","Delaware,Indiana,Iowa,New Jersey,New York,Pennsylvania,South Carolina,West Virginia",11,8,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acris gryllus","Southern Cricket Frog","Species","Exact Match","Amphibians","Acris gryllus","Tennessee","Tennessee",1,1,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acrobolbus ciliatus","(a liverwort)","Species","Exact Match","Plants","Acrobolbus ciliatus","","Tennessee",0,1,NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus"
"Acrolophidae","burrowing webworms","Family","Exact Match","Insects","Acrolophidae","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae",NA
"Acroneuria evoluta","A Stonefly","Species","Exact Match","Insects","Acroneuria evoluta","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria flinti","Manassas stonefly","Species","Exact Match","Insects","Acroneuria flinti","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria kosztarabi","Kosztarab's common stonefly","Species","Exact Match","Insects","Acroneuria kosztarabi","Virginia","Virginia",1,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria lycorias","A Stonefly","Species","Exact Match","Insects","Acroneuria lycorias","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria ozarkensis","Ozark Stone","Species","Exact Match","Insects","Acroneuria ozarkensis","Missouri","Missouri",1,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acronicta albarufa","Barrens Dagger Moth","Species","Exact Match","Insects","Acronicta albarufa","Connecticut,Massachusetts,New Mexico,New York,Virginia","Connecticut,Georgia,Massachusetts,New Jersey,Virginia",5,5,"Species of Concern","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta dolli","Doll's Merolonche","Species","Exact Match","Insects","Acronicta dolli","","New Jersey,Pennsylvania,West Virginia,Wisconsin",0,4,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acropora cervicornis","Staghorn Coral","Species","Exact Match","Other Invertebrates","Acropora cervicornis","Florida","Florida",1,1,"Threatened","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora palmata","Elkhorn Coral","Species","Exact Match","Other Invertebrates","Acropora palmata","Florida","Florida",1,1,"Threatened","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora prolifera","Fused Staghorn Coral","Species","Exact Match","Other Invertebrates","Acropora prolifera","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acroporidae","no common name","Family","Exact Match","Other Invertebrates","Acroporidae","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae",NA
"Actaea cordifolia","Appalachian Bugbane","Species","Fuzzy Match","Plants","Cimicifuga rubifolia","","Tennessee",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea"
"Actaea pachypoda","White Baneberry","Species","Exact Match","Plants","Actaea pachypoda","Nebraska","Louisiana,Nebraska",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea"
"Actiniidae","no common name","Family","Exact Match","Other Invertebrates","Actiniidae","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae",NA
"Actinopyga agassizi","Five-toothed Sea Cucumber, West Indian Sea Cucumber","Species","Fuzzy Match","Other Invertebrates","Actinopyga agassizii","","Florida",0,1,NA,"Animalia","Echinodermata","Holothuroidea","Aspidochirotida","Holothuriidae","Actinopyga"
"Actitis macularius","Spotted Sandpiper","Species","Fuzzy Match","Birds","Actitis macularia,Actitis macularius,Actitus macularius","Connecticut,Delaware,Kentucky,Michigan,New Jersey,Ohio,Rhode Island,South Carolina,Virgin Islands,West Virginia","Alaska,Delaware,Kentucky,Maryland,New Jersey,Pennsylvania,Rhode Island,South Carolina,West Virginia",10,9,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis"
"Adelia vaseyi","Vasey's adelia","Species","Exact Match","Plants","Adelia vaseyi","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Adelia"
"Adetus","A longhorned beetle","Genus","Exact Match","Insects","Adetus n. sp. EGR 1,Adetus sp. EGR 1","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Adetus"
"Adhemarius blanchardorum","Blanchard's sphinx","Species","Exact Match","Insects","Adhemarius blanchardorum","Texas","Texas",1,1,"Resolved Taxon","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Adhemarius"
"Adinia xenica","Diamond Killifish","Species","Exact Match","Fish","Adinia xenica","Louisiana","Louisiana",1,1,NA,"Animalia","Chordata","Teleostei","Cyprinodontiformes","Fundulidae","Adinia"
"Adlumia fungosa","Climbing Fumitory","Species","Exact Match","Plants","Adlumia fungosa","","Massachusetts,Tennessee,West Virginia",0,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Adlumia"
"Aegolius acadicus","Northern Saw-whet Owl","Species","Exact Match","Birds","Aegalius acadicus,Aegolius acadicus","Alaska,Connecticut,Maryland,North Carolina,Ohio,Tennessee,Virginia,West Virginia","Arizona,Connecticut,Delaware,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia",8,11,NA,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius"
"Aesculus glabra","Ohio Buckeye","Species","Exact Match","Plants","Aesculus glabra","Georgia","Georgia",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus"
"Aesculus parviflora","Small-flowered Buckeye","Species","Exact Match","Plants","Aesculus parviflora","","South Carolina",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus"
"Aeshna canadensis","Canada Darner","Species","Exact Match","Insects","Aeshna canadensis","Iowa,Maryland,Ohio,Virginia,West Virginia","Illinois,Iowa,Maryland,Ohio,Virginia,West Virginia",5,6,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna constricta","Lance-tipped darner","Species","Exact Match","Insects","Aeshna constricta","Maryland,Pennsylvania,Virginia","Pennsylvania,Virginia",3,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna tuberculifera","Black-tipped darner","Species","Exact Match","Insects","Aeshna tuberculifera","Delaware,Maryland,Pennsylvania,Virginia,West Virginia","Delaware,Maryland,Virginia,West Virginia",5,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna verticalis","Green-striped Darner","Species","Exact Match","Insects","Aeshna verticalis","Delaware,Iowa,Maryland,Pennsylvania,Vermont,Virginia,West Virginia","Delaware,Maryland,New Jersey,Virginia,West Virginia",7,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshnidae","darners","Family","Exact Match","Insects","Aeshnidae","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae",NA
"Aethecerinus horni","Horn's Aethecerinus Long-horned Beetle","Species","Fuzzy Match","Insects","Aethecerinus hornii","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Aethecerinus"
"Aetobatus narinari","Spotted Eagle Ray","Species","Exact Match","Fish","Aetobatus narinari","Florida","Florida",1,1,NA,"Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Aetobatus"
"Agalinis aphylla","Coastal Plain False-foxglove","Species","Exact Match","Plants","Agalinis aphylla","","Louisiana,South Carolina",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis aspera","Rough false foxglove","Species","Exact Match","Plants","Agalinis aspera","","Missouri",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis auriculata","Earleaf Foxglove","Species","Exact Match","Plants","Agalinis auriculata","Missouri","Missouri,South Carolina,Tennessee,Texas,West Virginia",1,5,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis calycina","Leoncita false foxglove","Species","Exact Match","Plants","Agalinis calycina","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis decemloba","Sandplain Gerardia","Species","Fuzzy Match","Plants","Agalinis acuta,Agalinis decemloba","","Connecticut,Georgia,Massachusetts",0,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis densiflora","Osage Plains false foxglove","Species","Exact Match","Plants","Agalinis densiflora","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis filicaulis","Thread-stem False Foxglove","Species","Exact Match","Plants","Agalinis filicaulis","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis georgiana","Georgia Purple Foxglove","Species","Exact Match","Plants","Agalinis georgiana","","Georgia",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis heterophylla","Prairie false foxglove","Species","Exact Match","Plants","Agalinis heterophylla","Missouri","Missouri,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis linifolia","Flax-leaf False-foxglove","Species","Exact Match","Plants","Agalinis linifolia","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis maritima","Salt-marsh False-foxglove","Species","Exact Match","Plants","Agalinis maritima","","South Carolina",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis navasotensis","Navasota false foxglove","Species","Exact Match","Plants","Agalinis navasotensis","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis oligophylla","Ridge-stem False-foxglove","Species","Exact Match","Plants","Agalinis oligophylla","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis plukenetii","Purple Gerardia","Species","Exact Match","Plants","Agalinis plukenetii","","Tennessee",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis purpurea","Purple False Foxglove","Species","Exact Match","Plants","Agalinis purpurea","Missouri,Nebraska","Missouri,Nebraska",2,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis setacea","Thread-leaved Gerardia","Species","Exact Match","Plants","Agalinis setacea","","Tennessee",0,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis skinneriana","Pale False Foxglove","Species","Exact Match","Plants","Agalinis skinneriana","","Louisiana",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis viridis","Green false foxglove","Species","Exact Match","Plants","Agalinis viridis","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agapema galbina","no common name","Species","Exact Match","Insects","Agapema galbina","Texas","Texas",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Agapema"
"Agapetus artesus","Artesian Agapetus Caddisfly","Species","Exact Match","Insects","Agapetus artesus","Missouri","Missouri",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus"
"Agapetus medicus","Arkansas agapetus caddisfly","Species","Exact Match","Insects","Agapetus medicus","Arkansas","Arkansas",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus"
"Agaricia agaricites","Lettuce Coral","Species","Exact Match","Other Invertebrates","Agaricia agaricites","Florida","Florida",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Agaricia"
"Agaricia fragilis","Fragile Saucer Coral","Species","Exact Match","Other Invertebrates","Agaricia fragilis","Florida","Florida",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Agaricia"
"Agaricia lamarcki","Sheet Coral","Species","Exact Match","Other Invertebrates","Agaricia lamarcki","Florida","Florida",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Agaricia"
"Agaricia tenuifolia","Thin Leaf Lettuce Coral","Species","Exact Match","Other Invertebrates","Agaricia tenuifolia","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Agaricia"
"Agariciidae","no common name","Family","Exact Match","Other Invertebrates","Agariciidae","","Florida",0,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae",NA
"Agarista populifolia","Carolina Dog-hobble","Species","Exact Match","Plants","Agarista populifolia","","South Carolina",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Agarista"
"Agarodes libalis","Spring-loving Psiloneuran Caddisfly","Species","Exact Match","Insects","Agarodes libalis","Florida","Delaware,Florida,Louisiana",1,3,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Agarodes"
"Agarodes logani","Logan's Agarodes Caddisfly","Species","Exact Match","Insects","Agarodes logani","","Florida",0,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Agarodes"
"Agarodes stannardi","Stannard's Agarodes Caddisfly","Species","Exact Match","Insects","Agarodes stannardi","Tennessee","Tennessee",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Agarodes"
"Agarodes ziczac","Zigzag Blackwater River Caddisfly","Species","Exact Match","Insects","Agarodes ziczac","Florida","Florida",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Agarodes"
"Agastache nepetoides","Yellow Giant Hyssop","Species","Exact Match","Plants","Agastache nepetoides","Georgia,Vermont","Georgia,Vermont",2,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache"
"Agastache scrophulariifolia","Purple Giant Hyssop","Species","Exact Match","Plants","Agastache scrophulariifolia","Georgia,Missouri,Nebraska,Vermont","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",4,6,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache"
"Agave X glomeruliflora","Chisos agave","Species","Fuzzy Match","Plants","Agave glomeruliflora","","Texas",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae","Agave"
"Ageratina luciae-brauniae","Lucy Braun's White Snakeroot","Species","Exact Match","Plants","Ageratina luciae-brauniae","","Tennessee",0,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina"
"Agkistrodon contortrix contortrix","Southern Copperhead","Subspecies","Exact Match","Reptiles","Agkistrodon contortrix contortrix","","Florida",0,1,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agkistrodon contortrix mokasen","Northern copperhead","Subspecies","Exact Match","Reptiles","Agkistrodon contortrix mokasen","New Jersey,New York","New Jersey,New York,Ohio,West Virginia",2,4,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agkistrodon piscivorus leucostoma","Western Cottonmouth","Subspecies","Exact Match","Reptiles","Agkistrodon piscivorus leucostoma","Kentucky","Kentucky",1,1,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agnetina annulipes","A Stonefly","Species","Exact Match","Insects","Agnetina annulipes","","Florida",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Agnetina"
"Agnorisma bollii","Moth sp.","Species","Exact Match","Insects","Agnorisma bolli,Agnorisma bollii","Delaware,South Carolina","Delaware,South Carolina",2,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agnorisma"
"Agonostomus monticola","Mountain Mullet","Species","Exact Match","Fish","Agonostomus monticola","Florida,Puerto Rico","Florida",2,1,NA,"Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Agonostomus"
