"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Acipenser brevirostrum","Shortnose Sturgeon","Species","Exact Match","Fish","Acipenser brevirostrum","Connecticut,Delaware,District of Columbia,Georgia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia","Connecticut,Delaware,District of Columbia,Florida,Georgia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,South Carolina,Virginia",15,15,"Endangered","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser fulvescens","Lake Sturgeon","Species","Exact Match","Fish","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,18,"Species of Concern","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser oxyrinchus","Atlantic Sturgeon","Species","Exact Match","Fish","Acipenser oxyrhynchus,Acipenser oxyrinchus","Connecticut,Delaware,District of Columbia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia","District of Columbia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia",14,12,NA,"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser oxyrinchus oxyrinchus","Atlantic Sturgeon","Subspecies","Exact Match","Fish","Acipenser oxyrinchus oxyrinchus","Florida","Connecticut,Delaware,Florida,Georgia",1,4,"Endangered","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Aconitum reclinatum","White Monkshood","Species","Exact Match","Plants","Aconitum reclinatum","","Tennessee,West Virginia",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum"
"Acris blanchardi","Blanchard's cricket frog","Species","Fuzzy Match","Amphibians","Acris blanchardi,Acris crepitans blanchardi","Michigan,Ohio,West Virginia","Colorado,Michigan,Minnesota,Missouri,South Dakota,West Virginia,Wisconsin",3,7,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acris crepitans","Northern Cricket Frog","Species","Exact Match","Amphibians","Acris crepitans,Acris crepitans crepitans","Colorado,District of Columbia,Iowa,Kansas,Minnesota,New York,Pennsylvania,South Carolina,South Dakota,West Virginia,Wisconsin","Delaware,Indiana,Iowa,New Jersey,New York,Pennsylvania,South Carolina,West Virginia",11,8,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris"
"Acroneuria arenosa","Eastern Stone","Species","Exact Match","Insects","Acroneuria arenosa","","Pennsylvania",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria arida","Elegant Stone","Species","Exact Match","Insects","Acroneuria arida","Georgia,Pennsylvania","Pennsylvania",2,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria flinti","Manassas stonefly","Species","Exact Match","Insects","Acroneuria flinti","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria internata","Lobed Stone","Species","Exact Match","Insects","Acroneuria internata","","Pennsylvania",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acroneuria kosztarabi","Kosztarab's common stonefly","Species","Exact Match","Insects","Acroneuria kosztarabi","Virginia","Virginia",1,1,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria"
"Acronicta albarufa","Barrens Dagger Moth","Species","Exact Match","Insects","Acronicta albarufa","Connecticut,Massachusetts,New Mexico,New York,Virginia","Connecticut,Georgia,Massachusetts,New Jersey,Virginia",5,5,"Species of Concern","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta connecta","Connected Dagger Moth","Species","Exact Match","Insects","Acronicta connecta","Delaware","Delaware",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta dolli","Doll's Merolonche","Species","Exact Match","Insects","Acronicta dolli","","New Jersey,Pennsylvania,West Virginia,Wisconsin",0,4,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta exilis","exiled dagger moth","Species","Exact Match","Insects","Acronicta exilis","Delaware","Delaware",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta falcula","Corylus Dagger Moth","Species","Exact Match","Insects","Acronicta falcula","Michigan","Connecticut,Michigan",1,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta fragilis","Fragile Dagger Moth","Species","Exact Match","Insects","Acronicta fragilis","","Connecticut,Rhode Island",0,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta increta","a dagger moth","Species","Exact Match","Insects","Acronicta increta","Delaware","Delaware",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta lanceolaria","A noctuid moth","Species","Exact Match","Insects","Acronicta lanceolaria","Connecticut,Pennsylvania","Connecticut",2,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta lithospila","Streaked Dagger Moth","Species","Exact Match","Insects","Acronicta lithospila","Delaware","Delaware",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta rubricoma","a dagger moth","Species","Exact Match","Insects","Acronicta rubricoma","Delaware","Delaware",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Acronicta tritona","no common name","Species","Exact Match","Insects","Acronicta tritona","Illinois","Rhode Island",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta"
"Actaea racemosa","Black Cohosh","Species","Exact Match","Plants","Actaea racemosa","","Connecticut,Massachusetts",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea"
"Actinothoe modesta","Burrowing Anemone","Species","Exact Match","Other Invertebrates","Actinothoe modesta","","Rhode Island",0,1,NA,"Animalia","Cnidaria","Anthozoa","Actiniaria","Sagartiidae","Actinothoe"
"Actitis macularius","Spotted Sandpiper","Species","Fuzzy Match","Birds","Actitis macularia,Actitis macularius,Actitus macularius","Connecticut,Delaware,Kentucky,Michigan,New Jersey,Ohio,Rhode Island,South Carolina,Virgin Islands,West Virginia","Alaska,Delaware,Kentucky,Maryland,New Jersey,Pennsylvania,Rhode Island,South Carolina,West Virginia",10,9,NA,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis"
"Adalia bipunctata","Two-spotted lady beetle","Species","Exact Match","Insects","Adalia bipunctata","","New York",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia"
"Adiantum aleuticum","Aleutian maidenhair-fern","Species","Exact Match","Plants","Adiantum aleuticum","Vermont","Vermont",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"Adiantum viridimontanum","Green Mountain Maidenhair-fern","Species","Exact Match","Plants","Adiantum viridimontanum","Vermont","Vermont",1,1,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"Adlumia fungosa","Climbing Fumitory","Species","Exact Match","Plants","Adlumia fungosa","","Massachusetts,Tennessee,West Virginia",0,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Adlumia"
"Aegolius acadicus","Northern Saw-whet Owl","Species","Exact Match","Birds","Aegalius acadicus,Aegolius acadicus","Alaska,Connecticut,Maryland,North Carolina,Ohio,Tennessee,Virginia,West Virginia","Arizona,Connecticut,Delaware,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia",8,11,NA,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius"
"Aeshna canadensis","Canada Darner","Species","Exact Match","Insects","Aeshna canadensis","Iowa,Maryland,Ohio,Virginia,West Virginia","Illinois,Iowa,Maryland,Ohio,Virginia,West Virginia",5,6,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna clepsydra","Mottled Darner","Species","Exact Match","Insects","Aeshna clepsydra","Ohio,Pennsylvania,Vermont,Wisconsin","New Jersey,Ohio,Pennsylvania,Vermont,Wisconsin",4,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna constricta","Lance-tipped darner","Species","Exact Match","Insects","Aeshna constricta","Maryland,Pennsylvania,Virginia","Pennsylvania,Virginia",3,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna interrupta","Variable Darner","Species","Exact Match","Insects","Aeshna interrupta","Iowa","Iowa,Ohio,Pennsylvania",1,3,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna juncea","Sedge Darner","Species","Exact Match","Insects","Aeshna juncea","Maine,Michigan","Maine,New Hampshire",2,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna sitchensis","Zigzag Darner","Species","Exact Match","Insects","Aeshna sitchensis","Michigan,Vermont,Wisconsin","Maine,Minnesota,Vermont,Wisconsin",3,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna subarctica","Subarctic Darner","Species","Exact Match","Insects","Aeshna subarctica","Massachusetts,Michigan,Montana,New York,Vermont,Washington,Wisconsin","Massachusetts,Minnesota,New Jersey,Vermont,Wisconsin",7,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna tuberculifera","Black-tipped darner","Species","Exact Match","Insects","Aeshna tuberculifera","Delaware,Maryland,Pennsylvania,Virginia,West Virginia","Delaware,Maryland,Virginia,West Virginia",5,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Aeshna verticalis","Green-striped Darner","Species","Exact Match","Insects","Aeshna verticalis","Delaware,Iowa,Maryland,Pennsylvania,Vermont,Virginia,West Virginia","Delaware,Maryland,New Jersey,Virginia,West Virginia",7,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna"
"Agabetes acuductus","A Water Scavenger Beetle","Species","Exact Match","Insects","Agabetes acuductus","Delaware,Wisconsin","Delaware,Wisconsin",2,2,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabetes"
"Agalinis auriculata","Earleaf Foxglove","Species","Exact Match","Plants","Agalinis auriculata","Missouri","Missouri,South Carolina,Tennessee,Texas,West Virginia",1,5,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agalinis decemloba","Sandplain Gerardia","Species","Fuzzy Match","Plants","Agalinis acuta,Agalinis decemloba","","Connecticut,Georgia,Massachusetts",0,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Agalinis"
"Agapetus iridis","Beloved Rainbow Caddisfly","Species","Exact Match","Insects","Agapetus iridis","","Pennsylvania",0,1,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus"
"Agarodes libalis","Spring-loving Psiloneuran Caddisfly","Species","Exact Match","Insects","Agarodes libalis","Florida","Delaware,Florida,Louisiana",1,3,NA,"Animalia","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Agarodes"
"Agastache nepetoides","Yellow Giant Hyssop","Species","Exact Match","Plants","Agastache nepetoides","Georgia,Vermont","Georgia,Vermont",2,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache"
"Agastache scrophulariifolia","Purple Giant Hyssop","Species","Exact Match","Plants","Agastache scrophulariifolia","Georgia,Missouri,Nebraska,Vermont","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",4,6,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache"
"Ageratina aromatica","Lesser Snakeroot","Species","Exact Match","Plants","Ageratina aromatica","","Massachusetts",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina"
"Agkistrodon contortrix","Copperhead","Species","Exact Match","Reptiles","Agkistrodon contortix,Agkistrodon contortrix,Agkistsrodon contortrix","Connecticut,Delaware,District of Columbia,Florida,Iowa,Massachusetts,Nebraska","Connecticut,Delaware,District of Columbia,Iowa,Massachusetts,Nebraska,Pennsylvania",7,7,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agkistrodon contortrix mokasen","Northern copperhead","Subspecies","Exact Match","Reptiles","Agkistrodon contortrix mokasen","New Jersey,New York","New Jersey,New York,Ohio,West Virginia",2,4,NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon"
"Agnorisma bollii","Moth sp.","Species","Exact Match","Insects","Agnorisma bolli,Agnorisma bollii","Delaware,South Carolina","Delaware,South Carolina",2,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agnorisma"
"Agonum crenistriatum","A Ground Beetle","Species","Exact Match","Insects","Agonum crenistriatum","Vermont","Vermont",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agonum darlingtoni","no common name","Species","Exact Match","Insects","Agonum darlingtoni","Connecticut,Rhode Island,Vermont","Connecticut,Rhode Island,Vermont",3,3,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agonum moerens","A Ground Beetle","Species","Exact Match","Insects","Agonum moerens","Vermont","Vermont",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agonum mutatum","Ground Beetle","Species","Exact Match","Insects","Agonum mutatum","Connecticut","Connecticut",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agonum picicornoides","A Ground Beetle","Species","Exact Match","Insects","Agonum picicornoides","Vermont","Vermont",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agonum punctiforme","A Ground Beetle","Species","Exact Match","Insects","Agonum punctiforme","Vermont","Vermont",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agonum superioris","A Ground Beetle","Species","Exact Match","Insects","Agonum superioris","Vermont","Vermont",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Agonum"
"Agrimonia microcarpa","Small-fruit Groovebur","Species","Exact Match","Plants","Agrimonia microcarpa","","West Virginia",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia"
"Agrimonia parviflora","Small-flowered Agrimony","Species","Exact Match","Plants","Agrimonia parviflora","","Massachusetts",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia"
"Agrimonia pubescens","Soft Groovebur","Species","Exact Match","Plants","Agrimonia pubescens","","Massachusetts,South Carolina",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia"
"Agrius cingulata","Pink-spotted Hawkmoth","Species","Exact Match","Insects","Agrius cingulata","Delaware","Delaware",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Agrius"
"Agrostis mertensii","boreal bentgrass","Species","Fuzzy Match","Plants","Agrostis borealis,Agrostis mertensii","Vermont","Tennessee,Vermont,West Virginia",1,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Agrostis"
"Agrotis buchholzi","Carolina Agrotis","Species","Fuzzy Match","Insects","Agrotis buchholzi,Agrotis carolina","","New Jersey,North Carolina",0,2,"Species of Concern","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis"
"Agrotis stigmosa","Spotted Dart Moth","Species","Exact Match","Insects","Agrotis stigmosa","Connecticut,Illinois","Connecticut,Illinois,Rhode Island",2,3,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis"
"Aix sponsa","Wood Duck","Species","Exact Match","Birds","Aix sponsa","Arizona,District of Columbia,New Jersey,Ohio,South Carolina","Arizona,District of Columbia,New Jersey,Ohio,Rhode Island,South Carolina",5,6,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix"
"Alasmidonta heterodon","Dwarf Wedgemussel","Species","Exact Match","Mollusks","Alasmidonta heterodon","Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Vermont,Virginia","Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Vermont,Virginia",12,12,"Endangered","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alasmidonta marginata","Elktoe","Species","Exact Match","Mollusks","Alasmidonta marginaa,Alasmidonta marginata","Alabama,Arkansas,Georgia,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,South Dakota,Tennessee,Vermont,Virginia,West Virginia","Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",17,19,"Species of Concern","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alasmidonta undulata","Triangle Floater","Species","Fuzzy Match","Mollusks","Alasmidonta undulata,Alasmidonta undulate","Delaware,District of Columbia,Florida,Maryland,Massachusetts,New Jersey,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia,West Virginia","Delaware,District of Columbia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,North Carolina,Pennsylvania,Rhode Island,South Carolina,Virginia,West Virginia",12,13,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alasmidonta varicosa","Brook Floater","Species","Exact Match","Mollusks","Alasmidonta varicosa,Alasmidonta varicose","Connecticut,Delaware,District of Columbia,Georgia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,Rhode Island,South Carolina,Vermont,Virginia,West Virginia","Connecticut,Delaware,District of Columbia,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Pennsylvania,South Carolina,Vermont,Virginia,West Virginia",17,15,"Under Review in the Candidate or Petition Process","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alasmidonta viridis","Slippershell Mussel","Species","Exact Match","Mollusks","Alasmidonta viridis","Alabama,Arkansas,Georgia,Illinois,Iowa,Kansas,Kentucky,Michigan,Missouri,New York,North Carolina,Tennessee,Virginia,Wisconsin","Alabama,Arkansas,Illinois,Iowa,Kentucky,Michigan,Missouri,New York,North Carolina,Ohio,Tennessee,Virginia,Wisconsin",14,13,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Alasmidonta"
"Alca torda","Razorbill","Species","Exact Match","Birds","Alca torda","Maine,New Jersey,New York","Maine,New Jersey,New York,Rhode Island",3,4,NA,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca"
"Alces alces","Moose","Species","Exact Match","Mammals","Alces alces","Massachusetts,Michigan,Wisconsin,Wyoming","Vermont,Wyoming",4,2,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces"
"Alces americanus","Moose","Species","Exact Match","Mammals","Alces americanus","","Massachusetts,Michigan,Minnesota,New Hampshire,New York",0,5,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces"
"Alces americanus americanus","Moose","Subspecies","Fuzzy Match","Mammals","Alces alces americanus","","Maine",0,1,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces"
"Alcyonium digitatum","Dead Man's Fingers","Species","Exact Match","Other Invertebrates","Alcyonium digitatum","","Maine",0,1,NA,"Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Alcyonium"
"Alderia modesta","Modest Alderia","Species","Exact Match","Mollusks","Alderia modesta","","Rhode Island",0,1,NA,"Animalia","Mollusca","Gastropoda","Sacoglossa","Stiligeridae","Alderia"
"Alitta virens","Clam Worm","Species","Exact Match","Other Invertebrates","Alitta virens","","Rhode Island",0,1,NA,NA,NA,NA,NA,NA,NA
"Allium canadense var. canadense","Wild Garlic","Variety","Exact Match","Plants","Allium canadense var. canadense","","Vermont",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allium schoenoprasum","Siberian chives","Species","Fuzzy Match","Plants","Allium schoenoprasum,Allium schoenoprasum var. sibiricum","Vermont","Vermont",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allium tricoccum var. burdickii","Narrow-leaved Wild Leek","Variety","Fuzzy Match","Plants","Allium burdickii,Allium tricoccum var. burdicki,Allium tricoccum var. burdickii","Missouri","Nebraska,Tennessee,Vermont",1,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium"
"Allocapnia frumi","A Stonefly","Species","Exact Match","Insects","Allocapnia frumi","West Virginia","West Virginia",1,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocapnia fumosa","Smokies Snowfly","Species","Exact Match","Insects","Allocapnia fumosa","Tennessee,Virginia","Tennessee,Virginia",2,2,"Under Review in the Candidate or Petition Process","Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocapnia harperi","Stonyfork Snowfly","Species","Exact Match","Insects","Allocapnia harperi","","Pennsylvania",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocapnia illinoensis","Illinois snowfly","Species","Exact Match","Insects","Allocapnia illinoensis","Illinois,Minnesota,New York,Virginia","Illinois,New York,Virginia",4,3,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocapnia ohioensis","Ohio snowfly","Species","Exact Match","Insects","Allocapnia ohioensis","","New York",0,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocapnia simmonsi","Spatulate snowfly","Species","Exact Match","Insects","Allocapnia simmonsi","Pennsylvania,Virginia","Pennsylvania,Virginia",2,2,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
"Allocapnia stannardi","Blue Ridge snowfly","Species","Exact Match","Insects","Allocapnia stannardi","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Insecta","Plecoptera","Capniidae","Allocapnia"
